word;image;required_response;block
KALDT;;left;consistent
STIKKENDE;;left;consistent
ISENDE;;left;consistent
DUNKENDE;;left;consistent
KLØE;;right;consistent
SULT;;right;consistent
TISSETRENGT;;right;consistent
AVSLAPPET;;right;consistent
KONTROLL;;right;consistent
TRYGG;;right;consistent
BESKYTTET;;right;consistent
BEHAGELIG;;right;consistent
UFORUTSIGBAR;;left;consistent
TRUENDE;;left;consistent
REDD;;left;consistent
SÅRBAR;;left;consistent
